Titre;Auteur;Sujets;Cote_LC
Les Monuments d'art et d'histoire du canton de Fribourg . Tome IV . Le district du Lac (I) / par Her;Schöpfer, Hermann (1939-2020) .;Monuments historiques -- Suisse -- Fribourg (canton);N7141.K8 FRIB 1956-
Faire l'histoire de l'art en France, 1890-1950 : pratiques, écritures, enjeux / sous la direction de;McWilliam, Neil (1954-....) .;Art -- Historiographie -- France -- 1870-1914 | Art -- Historiographie -- France -- 1900-1945;N7480 MCWI 2023
Animaux d'art et d'histoire : bestiaire des collections genevoises : [exposition] 30 mars-24 septemb;;Musées d'art et d'histoire Genève | Animals in art | Art -- Switzerland -- Geneva -- Themes, motives | Animaux -- Dans l'art | Peinture et dessin d'animaux;N7660 ANIM 2000
"Vaincre le silence : histoire de l’art et genre / travaux de l'école doctorale Histoire de l'art ; s";Zabunyan, Elvan (1968-....) .;Études sur le genre -- Dans l'art -- 1970- | Art -- Thèmes, motifs | Rôle selon le sexe -- Art -- 1970- | Féminisme et art;N8217.G397 ZABU 2025
Le récit de l'histoire de l'art : mots et rhétoriques d'une discipline / essais réunis par Myriam Me;Metayer, Myriam (1979-....) .;Historiens de l'art -- Langage | Art -- Histoire -- Terminologie;N7480 RECI 2017
Émile Bernard, au-delà de Pont-Aven : [exposition, Paris, Institut national d'histoire de l'art, Gal;;Bernard Émile 1868-1941 | Bernard Émile 1868-1941 -- Illustration des livres | Doucet Jacques 1853-1929 -- Collections d'art;NY BERN9.A3 2012
Marcello sculpteur : [exposition, Musée d'art et d'histoire de Fribourg, 1980] / Henriette Bessis;Bessis, Henriette (19..-....) .;Castiglione Colonna Adèle 1836-1879 duchesse de | Castiglione-Colonna Adèle d'Affry 1836-1879 duchessa di | Sculpture -- Suisse -- 19e siècle | Femmes artistes -- 19e siècle;NY CAST22.A3 1980
L'histoire de l'art engagée : Linda Nochlin / Émilie Oléron Evans;Oléron-Evans, Émilie (1984-....) .;Nochlin Linda 1931-2017 -- Critique et interprétation | Femmes artistes -- Historiographie | Femmes -- Et l'art | Art -- Historiographie -- Femmes | Féminisme et arts;N7483.N63 OLER 2025
Edward Steichen : photographe, 1879-1973 : collection du Musée national d'histoire et d'art de Luxem;Musée national d'histoire et d'art (Luxembourg) .;Steichen Edward 1879-1973 -- Photographies | Musée national d'histoire et d'art Luxembourg;NZ STEI5.A3 2004
Waldemar Deonna : un archéologue derrière l'objectif de 1903 à 1939 : [Musée d'art et d'histoire de;Chamay, Jacques (19..-....) .;Deonna W Waldemar 1880-1959 | Deonna Waldemar 1880-1959 | Geneva Switzerland Musée d'art et d'histoire -- Photograph collections | Musée d'art et d'histoire Genève, Suisse -- Collections de photographies | Documentary photography;NZ DEON5.A3 2000
Modernité hermaphrodite : art, histoire, culture / Magali Le Mens;Le Mens, Magali (1974-....) .;Winckelmann Johann Joachim 1717-1768 -- Critique et interprétation | Intersexuation -- Histoire | Identité de genre -- Histoire | Intersexuation -- Dans l'art | Identité de genre -- Dans l'art;N8217.A53 LEME 2019
Le désir de la ligne : Henri Matisse dans les collections Jacques Doucet : une exposition de l'insti;Chassey, Éric de (1965-....) .;"Matisse Henri 1869-1954 | Fondation Angladon-Dubrujeaud Avignon | Institut national d'histoire de l'art France ; 2001-";NY MATI5.A3 2022
Les monuments d'art et d'histoire du Canton de Vaud . Tome VI . La ville de Moudon / par Monique Fon;Fontannaz, Monique (19..-....) .;"Monuments historiques -- Suisse Vaud | Architecture -- Moudon (Suisse ; canton de Vaud)";N7141.K8 VAUD 1944-
Jean-Etienne Liotard, 1702-1789, dans les collections des Musées d'art et d'histoire de Genève : [ex;Musées d'art et d'histoire (Genève) .;Liotard Jean Étienne 1702-1789 | Musée d'art et d'histoire Genève, Suisse;NY LIOT3.A3 2002
Victor Hugo et le Grand-Duché de Luxembourg : dessins et lavis : [exposition organisé au musée natio;;Hugo Victor 1802-1885 écrivain, dramaturge et poète -- Dessin | Luxembourg -- Dans l'art -- 19e siècle;NY HUGO3.A3 2002
Prière(s) : [exposition présentée au Musée d'art et d'histoire de Saint-Denis du 21 mars au 24 juin;;Prière -- Dans l'art | Art -- Thèmes, motifs | Symbolisme chrétien -- Thèmes, motifs;N8237 PRIE 2002
"Histoire de l'art sans les hommes / Katy Hessel ; traduit de l'anglais (Grande-Bretagne) par Anna So";Hessel, Katy (1994-....) .;Femmes artistes | Sexisme dans le milieu artistique | Art -- Histoire;N8354 HESS 2022
Trésors d'art médiéval bulgare : VIIe-XVIe siècle : [exposition, Genève, Musée d'art et d'histoire];Bakalova, Elka (19..-....) .;Art, Bulgarian -- Exhibitions | Art, Medieval -- Bulgaria -- Exhibitions | Art médiéval -- Bulgarie | Art bulgare;N7183 TRES 1988
Debré : dessins (1945-1960) : [exposition], Saint-Denis, musée d'art et d'histoire, [1er février - 3;;Debré Olivier 1920-1999 -- Dessin | Debré Olivier 1920- -- Exhibitions -- Catalogs;NZ DEBR7.A34 1990
R. X. Prinet, 1861-1946 : [exposition], Belfort, Musée d'art et d'histoire, 3 juillet-14 septembre 1;;Prinet René François Xavier 1861-1946 | Prinet René-Franc̜ois-Xavier 1861-1946 -- Exhibitions;NY PRIN5.A3 1986
Jean-Pierre Saint-Ours : un peintre genevois dans l'Europe des lumières : [exposition], Musée d'art;Herdt, Anne de.;Saint-Ours Jean-Pierre 1752-1809;NY SAINO3.A3 2015
Histoire de l'histoire de l'art : de Vasari à nos jours / Germain Bazin,...;Bazin, Germain (1901-1990) .;Histoire de l'art | Art -- Historiographie | Art, Modern -- History;N7480 BAZI 1986
Histoire de la critique d'art / Gérard-Georges Lemaire;Lemaire, Gérard-Georges (1948-....) .;Critique d'art -- Histoire | Histoire de l'art;N7475 LEMA 2018
Tim, être de son temps : dessinateur, sculpteur, journaliste : 1919-2002 : [exposition présentée au;Tim (1919-2002) .;Tim 1919-2002 | Antisémitisme -- Caricatures et dessins humoristiques | Shoah -- Dans l'art | Totalitarisme -- Caricatures et dessins humoristiques | Caricatures et dessins humoristiques -- 20e siècle;NZ TIM3.A3 2003
L'oeuvre d'art sous le regard des sciences : [exposition, 17 mars-15 mai 1994], Musée d'art et d'his;Rinuy, Anne.;Musée d'art et d'histoire Genève, Suisse Laboratoire | Art -- Conservation et restauration -- Recherche -- Suisse -- Genève (Suisse) | Art -- Conservation et restauration | Antiquités (objets anciens) -- Conservation et restauration | Expertise;N8560 OEUV 1994
Félix Vallotton : de la gravure à la peinture : [exposition, organisée par le Cabinet d'arts graphiq;;Vallotton Félix 1865-1925;NY VALL13.A3 2010
