nom;prenom;cutter;domaine
Antoine;André;A586;cinema
Antonioni;Michelangelo;A58;cinema
Arbuckle;Fatty;A73;cinema
Baron;Auguste;B376;cinema
Baroncelli;Jacques de;B37;cinema
Bayard;Hyppolyte;B39;cinema
Braunberger;Pierre;B73;cinema
Brooks;Louise;B76;cinema
Capellani;Albert;C37;cinema
Chaplin;Charlie;C43;cinema
Chomon;Segundo de;C46;cinema
Cohl;Emile;C64;cinema
Comandon;Jean;C66;cinema
Dalio;Marcel;D35;cinema
Delluc;Louis;D45;cinema
Dryer;Carl Th;D74;cinema
Dulac;Germaine;D85;cinema
Epstein;Jean;E67;cinema
Faber;Juliette;F33;cinema
Fabre;Saturnin;F34;cinema
Feuillade;Louis;F48;cinema
Feyder;Jacques;F49;cinema
Gance;Abel;G36;cinema
Godard;Jean-Luc;G63;cinema
Griffith;David Wark;G75;cinema
Guy (-Blaché);Alice;G89;cinema
Ince;Thomas;I53;cinema
Keaton;Buster;K43;cinema
Langlois;Henri;L36;cinema
Legrand;Camille;L44;cinema
Lumière;Louis;L86;cinema
McCay;Winsor;M33;cinema
Matuszewski;Boleslaw;M38;cinema
Mayer;Louis B.;M39;cinema
Méliès;Georges;M45;cinema
Méliès;Gaston;M455;cinema
Ophuls;Max;O64;cinema
Ostriche;Muriel;O88;cinema
Pastrone;Giovanni;P37;cinema
Pathé;*Entreprise*;P38;cinema
Perret;Léonce;P47;cinema
Pickford;Mary;P535;cinema
Plateau;Joseph;P53;cinema
Ralston;Esther;R35;cinema
Ray;Satyajit;R39;cinema
Reed;Carol;R44;cinema
Renoir;Jean;R46;cinema
Reynaud;Emile;R49;cinema
Shipman;Nell;S55;cinema
Storck;Henri;S76;cinema
Vidor;King;V53;cinema
Welles;Orson;W45;cinema
Wenders;Wim;W46;cinema
