nom;prenom;identifiant_lc;domaine
Chateaubriand, de;François-René, vicomte;PQ2205;litterature
Leconte de Lisle;Charles Marie René;[PQ2332-2336];litterature
About;Edmond François Valentin;PQ2151;litterature
Achard;Louis Amédée Eugène;PQ2152.A2;litterature
Allais;Alphonse;PQ2601.L6;litterature
Andréas-Salomé;Lou;PT2601.N4;litterature
Annunzio, d';Gabriele;[PQ4803-4804];litterature
Apollinaire;Guillaume;PQ2601.P6;litterature
Asselineau;Charles;PQ2191.Z5 A8;litterature
Audoux;Marguerite;PQ2601.U4;litterature
Balzac, de;Honoré;[PQ2157-2185];litterature
Banville, de;Théodore Faullain;PQ2187-2188;litterature
Bar;Augustin;PQ2603.A283 A5 1928;litterature
Barbey d'Aurevilly;Jules;PQ2189.B32;litterature
Barney;Natalie Clifford;PQ3939.B3 Z463 1975;litterature
Barrès;Maurice;PQ2603.A52;litterature
Barrucand;Victor;PQ2603.A54 A7 1911;litterature
Barthou;Louis;PQ2297 .B3;litterature
Baudelaire;Charles Pierre;PQ2191;litterature
Becque;Henry;PQ2193.B4;litterature
Benjamin;Walter Romeyn;PS3503.E543;litterature
Bernard;Tristan;PQ2603.E6;litterature
Bétouzet, de;Henry Peyre;PQ2631.E9 D3 1911;litterature
Blanche;Jacques-Emile;PQ2603.L32;litterature
Blémont;Emile;PQ2197.B75;litterature
Bloy;Léon;PQ2198.B18;litterature
Boisson;Marius;PQ2260.G47 B6;litterature
Borel;Pierre;PQ2353 .B55;litterature
Borel;Pétrus;PQ2198.B4;litterature
Bouchor;Maurice;PQ2198.B6;litterature
Bourget;Paul Charles Joseph;PQ2199;litterature
Bouvier;Jean;PQ2603.O82 A7 1934;litterature
Bruant;Aristide;PQ2603.R9;litterature
Buchon;Max;PT1812.A3 S34 1853;litterature
Canat;René;PQ281 .C3;litterature
Capitaine Danrit;;PQ2220.D36;litterature
Capus;Alfred;PQ2203.C7;litterature
Carnoy;Henry;CT1003.C6;litterature
Caro;Elme-Marie;B2195;litterature
Chabrillan, de;Elizabeth-Céleste;"PZ3.M8136 Go
PQ2367.M65";litterature
Champfleury;;[PQ2252.A61-.Z5];litterature
Chénin;Emile;PQ2412 .C4 1911;litterature
Chojecki;Charles-Edmond;PG7158.C4 D46 2014;litterature
Claudel;Paul;PQ2605.L2;litterature
Claudel;Paul;PQ2605.L2;litterature
Clémenceau;Georges Eugène Benjamin;DC342.8.C6;litterature
Cler;Albert;DC33.6.P6 V7;litterature
Colette;;PQ2605.O28;litterature
Comtesse de Ségur;;PQ2427.S5;litterature
Coulevain, de;Pierre;PQ2611.A9 A9 1908;litterature
Courier de Meré;Paul-Louis;PQ2211.C42;litterature
Cozzani;Ettore;PQ4809.O9;litterature
