classe;cote_range;description
AM;AM1-(501);Museums.  Collectors and collecting
AM;AM111-160;Museology.  Museum methods, technique, etc.
AM;AM200-(501);Collectors and collecting
AM;AM10-100;By country
BH;BH81-208;History
BH;BH1-301;Aesthetics
BH;BH301;Special topics
C;C;Auxiliary Sciences Of History
CC;CC72-81;Philosophy.  Theory
CC;CC710;Hill figures
C;C1-51;Auxiliary Sciences of History (General)
CC;CC200-260;Bells.  Campanology.  Cowbells
CC;CC73-81;Methodology
CC;CC140;Forgeries of antiquities
CC;CC600-605;Boundary stones
CC;CC300-350;Crosses
CC;CC700-705;Stone heaps, cairns, etc., of unknown purpose
CC;CC1-960;Archaeology
CC;CC960;Lanterns of the dead
CC;CC83-97;Study and teaching.  Research
CC;CC135-137;Preservation, restoration, and conservation of antiquities.
D;D;World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc.
DA;DA990-995;Local history and description
D;D301-309;Period of the French Revolution
DA;DA740-745;Local history and description
D;D101-110.5;Medieval and modern history, 476-
DA;DA930-965;By period
DA;DA750-757.7;General
D;D275-276;War of Devolution, 1667-1668
D;D890-893;Eastern Hemisphere
DA;DA920-927;Antiquities.  Social life and customs.  Ethnography
DA;DA20-690;England
D;D1-2027;History (General)
D;D901-980;Description and travel
D;D111-203;Medieval history
D;D371-(379);Eastern question
DA;DA90-125;Antiquities.  Social life and customs.  Ethnography
DA;DA930-937.5;Early and medieval to 1603
D;D31-34;Political and diplomatic history
DA;DA140-199;Celts.  Romans.  Saxons.  Danes.  Normans
DA;DA670-690;Local history and description
DA;DA725-738;Description and travel
DA;DA505-522;George III, 1760-1820
DA;DA900-995;Ireland
D;D200-203;Later medieval.  11th-15th centuries
DA;DA40-89.6;Political, military, naval, and Air Force history.
DA;DA807;The Union, 1707
DA;DA430-463;Later Stuarts
D;D299-(475);1789-
DA;DA815-826;19th-20th centuries
DA;DA20-27.5;General
DA;DA990.U45-U46;Northern Ireland (Ulster)
DA;DA200-260;1154-1485.  Angevins.  Plantagenets.  Lancaster-York
DA;DA498-503;1714-1760
DA;DA10-18.2;British Empire.  Commonwealth of Nations.  The Commonwealth
DA;DA850-878;Description and travel
DA;DA300-592;Modern, 1485-
DA;DA28-35;General
D;D219-234;1453-1648
DA;DA900-908.7;General
DA;DA966-966.2;21st century
D;D274.5-6;Anglo-French War, 1666-1667
DA;DA28-592;History
DA;DA350-360;Elizabeth I, 1558-1603.  Elizabethan age
DA;DA1-995;History of Great Britain
D;D1-24.5;General
D;D297;Seven Years? War, 1756-1763
