Titre;classe_reelle;cote_reelle;cote_predite_reduit_standard;score_reduit_standard;confiance_reduit_standard;cote_predite_reduit_rameau_off;score_reduit_rameau_off;confiance_reduit_rameau_off;cote_predite_reduit_wikidata_off;score_reduit_wikidata_off;confiance_reduit_wikidata_off;cote_predite_reduit_fewshot_off;score_reduit_fewshot_off;confiance_reduit_fewshot_off;cote_predite_reduit_fewshot_elargi;score_reduit_fewshot_elargi;confiance_reduit_fewshot_elargi;cote_predite_complet_standard;score_complet_standard;confiance_complet_standard;cote_predite_complet_rameau_off;score_complet_rameau_off;confiance_complet_rameau_off;cote_predite_complet_wikidata_off;score_complet_wikidata_off;confiance_complet_wikidata_off;cote_predite_complet_fewshot_off;score_complet_fewshot_off;confiance_complet_fewshot_off;cote_predite_complet_fewshot_elargi;score_complet_fewshot_elargi;confiance_complet_fewshot_elargi;wikidata_qid;wikidata_occupation;wikidata_resume
Musée national Magnin, Dijon : guide de la collection de peintures = a guide to the paintings / Rémi;AM;AM48.D55 B43 2016;AM111;0.0;0.95;AM10-100;4.0;0.95;AM111;0.0;0.95;AM10-100;4.0;0.95;AM364.7.D55;0.0;0.95;AM46.5;4.0;0.95;AM101.M3;0.0;0.98;AM101.MAG;0.0;0.98;AM101.M;0.0;0.95;AM364.7.B36;0.0;0.98;;;
Pastels du Musée Carnavalet;AM;AM48.P37 C36.D6 1982;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.P37 C37;4.0;0.95;AM46.5;4.0;0.98;AM101.C3;0.0;0.98;AM46.5;4.0;0.98;AM46.5;4.0;0.95;AM46.P37 C37;4.0;0.98;;;
Guide to the Musée Rodin collections / under the general editorship of Dominique Viéville,... and Al;AM;AM48.P37 R63 2008;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM48.P37 R63;4.0;1.0;AM101.R63;0.0;1.0;AM101.A-Z;0.0;0.98;AM101.R63;0.0;1.0;AM101.R68;0.0;1.0;AM101.R63;0.0;1.0;;;
Le Musée a cent ans : 1888-1988 . Tome I . [Le centenaire] : [exposition], musée de Toulon, 21 décem;AM;AM48.T69 B43 1989;AM111;0.0;0.95;AM111;0.0;0.95;AM111;0.0;0.95;AM10-100;4.0;0.95;AM48.V85 M88 1988;4.0;0.95;AM101.T6;0.0;0.95;AM101.T6;0.0;0.98;AM101.T6;0.0;0.95;AM101.T;0.0;0.95;AM48.C50 T75 1988;4.0;0.98;;;
"Costume / par Louise Alcan et Michèle Margerie ; introduction par Jacques Gurtwirth";AM;AM48.P37 T73 1983;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM349;0.0;0.98;AM46-55;4.0;0.95;AM349;0.0;0.98;AM49;4.0;0.95;AM46-48;4.0;0.98;;;
100 dresses / The Costume Institute, The Metropolitan Museum of Art;AM;AM13.N52 M48.T7 2010;AM111;0.0;0.95;AM10-100;4.0;0.95;AM111;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM101.C67;0.0;0.98;AM101.A-Z;0.0;0.95;AM101.C67;0.0;0.98;AM305;0.0;0.95;AM101.M68;0.0;0.95;;;
Renaissance du Musée de Brest : acquisitions récentes : [exposition, Paris], Musée du Louvre, aile d;AM;AM48.B74 B43 1974;AM10-100;4.0;0.95;AM111-160;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.B75;4.0;0.95;AM46.5;4.0;0.95;AM201;0.0;0.95;AM46.5.B7;4.0;0.98;AM46-48;4.0;0.95;AM48.P37 B74 2023;4.0;0.98;;;
Catalogue des Musées archéologiques de Nîmes / par Émile Espérandieu;AM;AM48.N55 A73 1920;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.F7 M88 E87 1902;4.0;0.95;AM349;0.0;0.95;AM46-55;4.0;0.95;AM349;0.0;1.0;AM46-48;4.0;1.0;AM46.M66 E87 1901;4.0;0.98;;;
Habiller l'Opéra : costumes et ateliers de l'Opéra de Paris : [exposition, Centre national du costum;AM;AM48.M72 C46 2019;AM10-100;4.0;0.95;AM100;4.0;0.95;AM10-100;4.0;0.95;AM100;4.0;0.95;AM200;0.0;0.95;AM46-48;4.0;0.95;AM46-55;4.0;0.98;AM46.5;4.0;0.95;AM46-48;4.0;0.95;AM46-48;4.0;0.95;;;
Besançon : le plus ancien musée de France : [exposition, Paris], Musée des arts décoratifs, février-;AM;AM48.B50 B43 1957;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.B47;4.0;0.98;AM43.B4;4.0;0.98;AM43.B37;4.0;0.98;AM43.BES;4.0;1.0;AM43.A-Z;4.0;0.95;AM48.B45;4.0;1.0;;;
